city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent,property_tax,fire_insurance,total
1,80,2,1,1,1,acept,not furnished,875,24000,0,305,25180
1,285,4,5,4,6,acept,furnished,200000,20000,1834,254,222100
1,660,4,5,5,12,acept,furnished,4800,20000,1750,254,26800
1,315,3,5,2,14,not acept,not furnished,4300,20000,959,254,25510
1,900,3,4,8,-,acept,not furnished,0,20000,3813,301,24110
1,400,3,7,4,-,acept,not furnished,3000,20000,84,254,23340
1,410,4,5,5,1,acept,not furnished,em info,20000,0,254,20250
1,455,4,5,4,5,acept,not furnished,8500,19500,3334,248,31580
1,303,3,4,4,1,acept,furnished,4540,18000,0,229,22770
1,530,5,6,4,2,acept,furnished,8300,15000,5000,191,28490
1,620,4,5,5,8,acept,not furnished,7963,15000,5160,191,28310
1,620,4,6,4,1,acept,not furnished,8133,15000,4520,191,27840
1,580,5,5,4,4,acept,not furnished,9900,15000,2200,191,27290
1,1000,4,7,4,10,acept,furnished,6000,15000,4900,191,26090
1,500,4,4,8,12,acept,furnished,5000,15000,5200,191,25390
1,480,4,6,5,9,acept,not furnished,6660,15000,3063,191,24910
1,540,3,3,4,9,acept,not furnished,6200,15000,3500,191,24890
1,300,4,6,6,17,acept,not furnished,6300,15000,3400,191,24890
1,600,3,3,3,9,acept,not furnished,6826,15000,2860,191,24880
1,800,4,5,4,9,acept,not furnished,6000,15000,3334,191,24530
1,420,4,4,4,9,acept,not furnished,6000,15000,3334,191,24530
1,700,4,10,0,-,acept,not furnished,0,15000,8750,226,23980
1,355,4,5,5,21,not acept,furnished,5700,15000,2977,191,23870
1,480,4,4,4,12,acept,furnished,6500,15000,2084,191,23780
1,380,4,7,7,15,acept,not furnished,6000,15000,2500,191,23690
1,540,4,7,5,11,acept,not furnished,4922,15000,3565,191,23680
1,320,4,4,6,8,acept,furnished,5281,15000,3151,191,23620
1,469,4,5,4,12,acept,not furnished,5706,15000,2260,191,23160
1,330,4,6,3,7,acept,not furnished,5457,15000,2475,191,23120
1,375,4,5,5,1,acept,not furnished,4793,15000,2805,191,22790
1,320,3,4,4,5,acept,furnished,5500,15000,1942,191,22630
1,350,5,6,6,10,acept,not furnished,7000,15000,417,191,22610
1,325,4,5,4,1,acept,furnished,4950,15000,2209,191,22350
1,262,3,4,4,8,acept,not furnished,4844,15000,2050,191,22090
1,300,4,2,0,5,acept,not furnished,6000,15000,834,191,22030
1,240,4,3,3,10,not acept,furnished,4976,15000,1813,191,21980
1,308,4,4,3,1,acept,not furnished,4780,15000,1917,191,21890
1,326,3,4,5,12,acept,furnished,3600,15000,3000,191,21790
1,280,3,4,4,4,acept,not furnished,5000,15000,1500,191,21690
1,380,4,3,2,12,not acept,furnished,5500,15000,1000,191,21690
1,392,3,5,5,7,acept,not furnished,3400,15000,2667,191,21260
1,500,3,5,2,11,acept,not furnished,5000,15000,1000,191,21190
1,515,5,4,3,5,acept,not furnished,5600,15000,250,191,21040
1,366,4,5,5,8,acept,furnished,4000,15000,1834,191,21030
1,340,2,4,3,14,acept,not furnished,4900,15000,917,191,21010
1,420,4,6,4,8,acept,not furnished,3500,15000,2250,191,20940
1,900,4,9,8,1,acept,not furnished,0,15000,5700,226,20930
1,450,3,4,2,3,acept,not furnished,4187,15000,1450,191,20830
1,320,4,6,4,4,acept,not furnished,5400,15000,175,191,20770
1,260,4,4,3,13,acept,not furnished,4070,15000,1500,191,20760
1,900,5,9,8,1,acept,furnished,0,15000,5470,226,20700
1,450,4,4,3,14,acept,not furnished,5500,15000,0,191,20690
0,500,4,4,3,5,not acept,not furnished,5288,15000,82,191,20560
1,247,4,6,4,16,acept,not furnished,3600,15000,1742,191,20530
1,495,5,5,4,11,not acept,not furnished,3100,15000,2180,191,20470
1,320,3,4,4,7,acept,furnished,3440,15000,1659,191,20290
1,998,7,10,4,-,acept,furnished,0,15000,5000,226,20230
1,350,4,5,4,2,acept,furnished,5000,15000,0,191,20190
1,260,4,4,3,11,not acept,not furnished,3500,15000,1417,191,20110
1,260,4,4,4,4,acept,not furnished,3247,15000,1589,191,20030
1,350,4,5,5,17,acept,furnished,2400,15000,2400,191,19990
1,240,4,5,3,4,acept,not furnished,3500,15000,1250,191,19940
1,216,3,5,0,14,not acept,furnished,3200,15000,1500,191,19890
1,322,4,5,5,17,acept,furnished,2700,15000,1875,191,19770
1,212,4,3,4,1,acept,not furnished,3300,15000,1272,191,19760
1,408,4,6,3,20,acept,not furnished,2800,15000,1667,191,19660
1,350,4,3,3,1,not acept,furnished,4459,15000,0,191,19650
1,900,4,6,8,-,acept,not furnished,0,15000,4417,226,19640
1,750,4,5,8,-,acept,not furnished,0,15000,4338,226,19560
1,300,4,4,2,14,not acept,not furnished,3300,15000,1071,191,19560
1,332,5,4,3,17,acept,not furnished,3200,15000,1167,191,19560
1,360,3,5,2,1,acept,not furnished,3500,15000,834,191,19530
1,350,5,4,3,16,acept,not furnished,3000,15000,1265,191,19460
1,270,3,4,2,11,acept,not furnished,3158,15000,1100,191,19450
1,339,4,5,4,13,acept,furnished,2800,15000,1440,191,19430
1,380,3,2,3,5,acept,not furnished,3200,15000,917,191,19310
1,236,4,5,4,1,not acept,furnished,3950,15000,142,191,19280
1,285,4,4,4,17,acept,not furnished,3100,15000,973,191,19260
0,800,4,7,4,-,acept,not furnished,2100,15000,1898,226,19220
1,210,3,4,4,4,acept,not furnished,2600,15000,1334,191,19130
1,191,3,3,4,1,acept,furnished,2605,15000,1299,191,19100
1,250,4,5,4,2,acept,furnished,2900,15000,1000,191,19090
0,900,3,6,8,-,acept,not furnished,2000,15000,1834,226,19060
1,384,4,6,4,3,not acept,furnished,3500,15000,344,191,19040
1,215,3,3,2,1,not acept,furnished,3000,15000,834,191,19030
1,360,4,5,2,8,acept,not furnished,2600,15000,1167,191,18960
1,360,4,5,2,4,acept,not furnished,2600,15000,1167,191,18960
1,360,4,5,2,7,acept,not furnished,2600,15000,1167,191,18960
1,360,4,5,2,6,acept,not furnished,2600,15000,1167,191,18960
1,208,3,3,3,4,acept,furnished,2490,15000,1200,191,18880
1,255,3,3,2,8,acept,furnished,2964,15000,667,191,18820
1,289,3,3,2,6,not acept,not furnished,2850,15000,777,191,18820
1,250,3,2,3,35,acept,furnished,2500,15000,1084,191,18780
1,310,3,3,2,16,not acept,not furnished,2720,15000,846,191,18760
1,398,4,5,4,-,acept,not furnished,2400,15000,1084,226,18710
1,200,2,5,2,2,not acept,furnished,2448,15000,937,191,18580
1,380,3,5,1,10,not acept,not furnished,3000,15000,267,191,18460
1,162,2,3,3,3,not acept,furnished,2200,15000,959,191,18350
1,750,4,7,7,-,acept,furnished,0,15000,3084,226,18310
1,238,4,4,3,1,acept,furnished,2569,15000,542,191,18300
1,235,3,4,4,2,acept,furnished,1950,15000,1150,191,18290
1,250,4,2,3,2,not acept,furnished,3000,15000,100,191,18290
1,178,3,3,4,12,not acept,furnished,2180,15000,850,191,18220
1,210,3,4,4,11,acept,furnished,2000,15000,1000,191,18190
1,395,4,4,3,16,acept,furnished,2137,15000,834,191,18160
1,270,4,4,4,11,acept,furnished,2800,15000,100,191,18090
1,192,4,5,4,11,not acept,furnished,2800,15000,90,191,18080
1,227,4,4,3,7,not acept,furnished,2000,15000,750,191,17940
1,238,4,5,3,1,not acept,not furnished,2500,15000,375,58,17930
1,250,5,3,6,-,acept,not furnished,0,15000,2704,226,17930
1,218,3,3,3,9,acept,furnished,1850,15000,809,191,17850
1,596,4,5,2,-,acept,furnished,0,15000,2620,226,17850
1,315,3,4,5,14,not acept,furnished,1500,15000,1000,191,17690
1,300,4,3,4,9,acept,not furnished,2400,15000,0,191,17590
1,645,5,8,8,-,acept,not furnished,0,15000,2334,226,17560
1,200,2,3,2,1,acept,furnished,1700,15000,667,191,17560
1,520,4,6,4,-,acept,not furnished,0,15000,2250,226,17480
1,700,5,7,5,-,acept,not furnished,0,15000,2240,226,17470
1,750,4,4,6,-,acept,not furnished,0,15000,2084,226,17310
1,162,2,2,3,6,acept,furnished,1500,15000,609,191,17300
1,600,5,5,6,-,acept,not furnished,0,15000,2100,191,17290
1,311,4,4,4,7,acept,furnished,2100,15000,0,191,17290
1,629,4,4,4,-,acept,not furnished,0,15000,2064,226,17290
1,800,5,7,6,-,acept,not furnished,1,15000,2051,226,17280
1,750,4,6,2,-,acept,not furnished,0,15000,2041,226,17270
1,128,2,3,2,5,not acept,not furnished,1500,15000,534,191,17230
1,560,5,5,6,-,acept,not furnished,0,15000,1917,226,17140
1,400,4,3,2,-,acept,not furnished,0,15000,1870,226,17100
1,400,4,6,4,-,acept,not furnished,0,15000,1875,226,17100
1,500,4,5,8,-,acept,not furnished,0,15000,1850,226,17080
1,300,4,5,6,-,acept,furnished,0,15000,1805,226,17030
1,400,5,5,4,-,acept,not furnished,0,15000,1800,226,17030
1,400,4,5,3,-,acept,not furnished,0,15000,1750,226,16980
1,380,5,5,4,-,acept,not furnished,500,15000,1172,226,16900
1,210,5,4,1,-,acept,not furnished,0,15000,1667,226,16890
1,800,4,2,6,-,acept,furnished,ncluso,15000,1667,226,16890
1,136,3,2,2,13,acept,furnished,1259,15000,374,191,16820
1,480,4,6,5,-,acept,not furnished,0,15000,1572,226,16800
1,450,4,5,2,-,not acept,furnished,0,15000,1400,226,16630
1,400,3,2,8,-,acept,furnished,0,15000,1334,226,16560
1,420,4,3,4,-,acept,not furnished,0,15000,1250,226,16480
1,220,3,4,2,-,acept,not furnished,400,15000,834,226,16460
1,350,3,4,4,-,acept,furnished,0,15000,1234,226,16460
1,152,2,2,1,3,acept,furnished,1000,15000,250,191,16440
1,500,3,3,5,-,acept,furnished,0,15000,1125,226,16350
1,400,3,3,6,-,acept,not furnished,ncluso,15000,1123,226,16350
1,550,5,6,4,-,acept,not furnished,0,15000,1119,226,16350
1,440,4,3,7,-,not acept,not furnished,0,15000,1084,226,16310
1,300,4,3,2,-,acept,furnished,0,15000,1040,226,16270
1,290,3,3,2,-,acept,furnished,0,15000,1000,226,16230
1,500,4,6,3,-,acept,not furnished,0,15000,845,226,16070
1,287,4,4,3,-,acept,not furnished,0,15000,840,226,16070
1,200,2,4,1,-,acept,not furnished,0,15000,829,226,16060
